Field,Ed-Fi Entity,Ed-Fi Attribute,Description,Ed-Fi Notes,Sample Data,Format,Required Field,Logic,Remarks
program_of_study,Program,ProgramName,"The academic or vocational program the student is following (e.g., engineering, business).",,"Business mgmt, pos",,,,
academic_plan,StudentSchoolAssociation,EducationPlan,"The student’s planned academic trajectory or course of study, including subjects and credits.",,,,,,
special_ed,SpecialEducationProgramService,NA,Indicates whether the student is enrolled in special education programs.,,FALSE,,,,
esl,NA,NA,Indicates whether the student is enrolled in English as a Second Language (ESL) programs.,,FALSE,,,,
lep,StudentEducationOrganizationAssociation,LimitedEnglishProficiency,"Indicates whether the student is a Limited English Proficient (LEP) student, typically referring to their proficiency in English.",,FALSE,,,,
at_risk,StudentIndicator,Indicator,"Indicates whether the student is considered ""at risk"" based on academic or socio-economic factors.",,FALSE,,,,
gt,StudentIndicator,NA,Indicates whether the student is identified as Gifted and Talented (GT).,,FALSE,,,,
economic_status,NA,NA,"Indicates the student's economic status (e.g., low-income, free/reduced lunch).",,0,,,,
special_ed_setting,"StudentSpecialEducationProgramAssociation
",SpecialEducationSetting,Describes the specific setting or accommodations the student requires within the special education program.,,0,,,,
leaver_code,StudentSchoolAssociation,ExitWithdrawType,"A code used to classify students who have left the district or school system (e.g., transferred, graduated, dropped out).",,-,,,,
title_one,StudentTitleIPartAProgramAssociation,NA,Indicates whether the student qualifies for Title I services under federal guidelines for disadvantaged students.,,FALSE,,,,
enrollment_status,StudentSchoolAssociation,NA,"The current enrollment status of the student (e.g., active, withdrawn, graduated).",,A,,,,
ethnicity,StudentEducationOrganizationAssociation,NA,"The student's ethnicity or race classification (e.g., Hispanic, Black, White).",,Asian,,,,
migrant,MigrantEducationProgramService,PrimaryIndicator,Indicates whether the student is part of a migrant education program or comes from a migrant background.,,-,,,,
bilingual,NA,NA,Indicates whether the student is enrolled in a bilingual education program.,,-,,,,
full_pgp,GraduationPlan,NA,Indicates whether the student has a full Personalized Graduation Plan (PGP) in place.,,0,,,,
home_campus_number,School,SchoolId,The unique identifier for the student's home campus (school) within the district.,,1,,,,
first_name,Student,FirstName,The student's first name.,,First1,,,,
last_name,Student,Surname,The student's last name.,,Last1,,,,
student_id,Student,StudentUniqueId,The unique identifier assigned to the student within the district's system.,,1,,,,
student_current_grade_level,StudentSchoolAssociation,GradeLevel,"The current grade level of the student (e.g., 9th, 10th, 11th, etc.).",,12,,,,
courses_in_this_pos,Course,NA,The list of courses the student has completed in for their program of study (POS).,,"Engineering & Architec Pltw1
 Intro To Engineering Design Pltw2
 Engineering Science Pltw2
 Engineering Design & Dev Pltw1",,,,"We can map it to CourseTitle, but it contains list og all course and not only the completed one"
service_ids_in_this_pos,StudentCTEProgramAssociation,CTEProgramService,The unique identifiers for the services associated with the student's program of study.,,"N1303747
 N1303742
 13037500
 N1303749",,,,
courses_taken_in_school_year,NA,NA,The courses the student has taken during the academic school year.,,"2023-2024
 2021-2022
 2022-2023
 2024-2025",,,,
credit_already_earned,Credits,NA,The total number of credits the student has already earned in relation to their program of study.,,3.5,,,,
teacher_name,Staff,FirstName,The name of the teacher responsible for instructing the student in their courses.,,"Last, First",,,,
pos_code,Program,ProgramId,The code associated with the student's program of study (POS).,,22,,,,
pos_name,Program,ProgramName,The name of the student's program of study (POS).,,Engineering Foundations,,,,
num_courses_in_this_pos,StudentCTEProgramAssociation,NA,The total number of courses included in the student's program of study.,,3,,,,
num_credits_in_this_pos,NA,NA,The total number of credits the student has earned within their program of study.,,3,,,,
num_level_3_or_4_courses_in_this_pos,NA,NA,The number of level 3 or 4 courses the student has completed within their program of study.,,2,,,,
cert_code,Credential,CredentialIdentifier,The unique identifier code for the certification associated with the student's program.,,942,,,,
certification_name,Credential,CredentialField,The name of the certification the student is pursuing or has earned.,,Autodesk Associate (Certified User) Revit Architecture,,,,
taken,NA,NA,Indicates whether the student has taken the exam associated with the certification.,,1,,,,
passed,NA,NA,Indicates whether the student has passed the exam associated with the certification.,,1,,,,
earned,NA,NA,Indicates whether the student has earned the certification or credit related to the program of study.,,1,,,,
most_recent_test_date,NA,NA,The date when the student most recently took the certification exam or test.,,12/19/2024,,,,
DCIC,EducationOrganization,EducationOrganizationIdentificationCode.IdentificationCode,District Campus Identification Code—unique identifier for the campus within the district.,,0,,,EducationOrganizationIdentificationCode.EducationOrganizationIdentificationSystem='District',
Student_Number,Student,StudentUniqueId,Local student identifier assigned by the district or campus.,,1,,,,
first_name,Student,Name.FirstName,Student’s first name.,,First,,,,
last_name,Student,Name.MiddleName,Student’s last name.,,Last,,,,
grade_level,,N/A,"Student’s current grade level (e.g., 9, 10, 11, 12).",,12,,,,
SchoolID,School,SchoolId,Unique identifier for the student’s school or campus.,,380,,,,
S_TX_STU_PERF_ACKN_C_STATUS_DATE,StudentAcademicRecord,Recognition.RecognitionAwardDate,"Date the College, Career, and Military Readiness (CCMR) performance acknowledgment status was recorded.",The date the recognition was awarded or earned.,8/31/2021,,,,
S_TX_STU_PERF_ACKN_C_PERFORMANCE_INDICATOR,StudentAcademicRecord,Recognition.RecognitionDescription,Description or label of the CCMR performance indicator the student is being evaluated for.,A description of the type of recognition earned by or awarded to the individual.,CL,,,,
S_TX_STU_PERF_ACKN_C_INDICATOR_CODE,,N/A,"Code representing a specific CCMR performance indicator (e.g., IBC, dual credit, military enlistment).","The nature of recognition given to the individual for accomplishments in a co-curricular, or extra-curricular activity.",538,,,,
S_TX_STU_PERF_ACKN_C_E1655_IBC_VENDOR_CODE,,N/A,Code identifying the Industry-Based Certification (IBC) vendor.,,860,,,,
S_TX_STU_PERF_ACKN_C_E1654_IBC_EXAM_FEE_AMT,,N/A,"Amount paid for the IBC exam fee, if applicable.",,,,,,
S_TX_STU_PERF_ACKN_C_INDICATOR_VALUE,,N/A,"Binary or categorical value indicating whether the performance indicator was met (e.g., Y/N).",,Google Analytics Individual Qualification,,,,
S_TX_STU_PERF_ACKN_C_COMMENTS,,N/A,Additional notes or comments related to the performance acknowledgment.,,,,,,
S_TX_STU_PERF_ACKN_C_E1733_IBC_CERT_RESULT,,N/A,"Result or status of the student's IBC certification (e.g., Passed, Failed, Pending).",,2,,,,Need confirmation on the description since the sample data is conflicting the description
updated_at,,N/A,Timestamp indicating the last update to the record.,,2022-05-12 17:22:14 UTC,,,,Append the same records?
documentation_uploaded,,N/A,Flag indicating whether supporting documentation has been uploaded for the student’s CCMR indicator.,,No,,,,
campus_num,school,school_id,Unique identifier for the student’s campus.,"The identifier assigned to a school. It must be distinct from any other identifier assigned to educational organizations, such as a LocalEducationAgencyId, to prevent duplication.",1,,,,
grade_level,StudentSchoolAssociation,EntryGradeLevelDescriptor,The student’s current grade level.,The grade level or primary instructional level at which a student enters and receives services in a school or an educational institution during a given academic session.,9,,,,
student_id,student,studentUniqueId,Unique identifier assigned to the student.,A unique alphanumeric code assigned to a student,1,,,,
last_name,student,lastsurname,Student’s last name.,legal name of the person.,Last1,,,,
first_name,student,firstName,Student’s first name.,legal name of the person.,First1,,,,
cert_code,Credential,CredentialIdentifier,Certification code aligned to the student's program of study.,Identifier or serial number assigned to the credential.,630,,,,
cert_name,Credential,CredentialField,Name or title of the certification.,"The field of certification for the certificate (e.g., Mathematics, Music).",NCCER Core,,,"{
  ""credentialIdentifier"": ""630"",
  ""credentialFieldDescriptor"": ""uri://ed-fi.org/CredentialFieldDescriptor#Mathematics"",
  ""issuanceDate"": ""2024-06-15"",
  ""credentialTypeDescriptor"": ""uri://ed-fi.org/CredentialTypeDescriptor#Certification"",",
A-F?,n/a,,Indicates if the certification is graded A–F.,,1,,,,
test_date,StudentAssessment,AdministrationDate,Date the certification exam or assessment was taken.,The date and time an assessment was completed by the student. The use of ISO-8601 formats with a timezone designator (UTC or time offset) is recommended in order to prevent ambiguity due to time zones.,1/28/2025,,,,
aligned_pos_code,Program,ProgramId,Code for the aligned Program of Study (POS).,"A unique number or alphanumeric code assigned to a program by a school, school system, a state, or other agency or entity.",54,,,,
aligned_pos,Program,programaName,Name of the aligned Program of Study.,"The formal name of the program of instruction, training, services, or benefits available through federal, state, or local agencies.",Construction Management and Inspection,,,,
num_courses,n/a,,Total number of CTE courses the student is taking this year.,,1,,,,
num_credits,CourseTranscript,EarnedAdditionalCredits,Total number of CTE credits the student is earning this year.,The number of additional credits a student attempted and could earn for successfully completing a given course.,1,,,"{
  ""CourseTranscript"": {
    ""AdditionalEarnedCredits"": 1,
    ""AdditionalEarnedCreditType"": ""CTE"",
    ""CreditType"": ""CTE""
  }
}",
num_courses_before_this_year,n/a,,Number of CTE courses taken before the current school year.,,0,,,,Can be figured out by logics
num_credits_before_this_year,n/a,,Number of CTE credits earned before the current school year.,,0,,,,
num_level_2_and_above_credits_available_this_year,n/a,,Number of Level 2 or higher credits the student can earn this year.,,0,,,,
num_level_2_and_above_credits_earned_before_this_year,n/a,,Number of Level 2 or higher credits earned before this year.,,0,,,,
num_level_3_or_4_credits_available_this_year,n/a,,Number of Level 3 or 4 credits the student can earn this year.,,0,,,,
num_level_3_or_4_credits_earned_before_this_year,n/a,,Number of Level 3 or 4 credits earned before this year.,,0,,,,
cte_actual,n/a,n/a,Indicates the actual CTE status or outcome for the student.,,,,,,
student_courses_in_pos,remark added,,List of CTE courses the student has taken within their POS.,,Principles Of Construction,,,"{
  ""StudentSectionAssociations"": [
    {
      ""SectionReference"": {
        ""SectionIdentifier"": ""CON101"",
        ""SessionReference"": {
          ""SchoolYear"": 2025
        }
      },
      ""CourseReference"": {
        ""CourseCode"": ""CON101"",
        ""CourseTitle"": ""Principles of Construction""
      },
      ""BeginDate"": ""2025-08-15"",
      ""EndDate"": ""2026-05-20"",
      ""PrimaryIndicator"": true,
      ""ProgramReference"": {
        ""ProgramCode"": ""54"",
        ""ProgramName"": ""Construction Management and Inspection""
      }
    }
  ]
",
campus_number,EducationOrganization,EducationOrganizationId,The unique identifier assigned to the campus or school where the student is enrolled.,,1,,,,
campus_name,educationorganization,nameofinstitution,The name of the campus or school the student is attending.,,BRYAN ADAMS H S,,,,
grade_level,StudentSchoolAssociation,EntryGradeLevelDescriptor,"The academic grade level the student is currently in (e.g., 9th grade, 10th grade).",,9,,,,
student_id,StudentEducationOrganizationAssociation,StudentIdentificationCode.IdentificationCode,A unique identifier assigned to the student within the school district or institution.,,2,,,,
last_name,Student,FirstName,The student's last name.,,Last2,,,,
first_name,Student,Surname,The student's first name.,,First2,,,,
cte_actual,CTEProgramService,CTEProgramService,Indicates the actual Career and Technical Education (CTE) program the student is enrolled in.,,6,,,,
pos_code,Program,ProgramId,The code representing the student’s program of study (POS).,,46,,,,
program_of_study,Program,ProgramName,"The academic or vocational program the student is following (e.g., engineering, business).",,Plumbing and Pipefitting,,,,
StudentId,student,studentlocalid,A unique identifier assigned to the student,,2,,,,
StudentFirstName,student,firstname,The student's first name.,,First2,,,,
StudentLastName,student,lastsurname,The student's last name.,,Last2,,,,
StudentMiddleName,student,middlename,The student's middle name (if applicable).,,Middle2,,,,
StudentCampus,educationorganization,nameofinstitution,The campus or school where the student is enrolled.,,Seagoville High School,,,,
College,rdh_tsia_registrants,registered_test_center,The college or university the student is registering for the TSIA test.,,,,,,
Accepted,rdh_tsia_registrants,accepted,Indicates whether the student has been accepted to take the TSIA test.,,N,,,,
PreassessmentComplete,rdh_tsia_registrants,PreassessmentComplete,Indicates whether the student has completed the pre-assessment required for the TSIA test.,,Y,,,,
StudentEmail,student,studentemail,The student's email address.,,4075192@dallasisd.org,,,,
StudentDOB,student,birthdate,The student's date of birth.,,2/9/2006 0:00,,,,
STUDENT_NUMBER,Student,StudentUniqueId,A unique identifier assigned to the student,A unique alphanumeric code assigned to a student.,1,,,,
STUDENT_FIRST_NAME,Student,FirstName,The student's first name.,"A name given to an individual at birth, baptism, or during another naming ceremony, or through legal change.",First1,,,,
STUDENT_MIDDLE_NAME,Student,MiddleName,The student's middle name (if applicable).,"A secondary name given to an individual at birth, baptism, or during another naming ceremony.",Middle1,,,,
STUDENT_LAST_NAME,Student,Surname,The student's last name.,The name borne in common by members of a family.,Last1,,,,
STUDENT_CAMPUS,rdh_disd_financialaid,NameOfInstitution,The campus or school where the student is enrolled.,,Skyline High School,,,,
OPTED_IN,rdh_disd_financialaid,Opted_In,Indicates whether the student has opted in to receive financial aid or participate in financial aid programs.,,N,,,,
OPT_IN_FORM,rdh_disd_financialaid,Opt_In_Form,The form or document that the student submitted to opt in to the financial aid program.,,,,,,What are the type of file that we will receive in this feild?
OPTED_OUT,rdh_disd_financialaid,Opted_Out,Indicates whether the student has opted out of receiving financial aid or participating in financial aid programs.,,N,,,,
STATUS_DATE,rdh_disd_financialaid,Status_Date,The date when the student’s financial aid status was last updated or changed.,,,,,,What are the changes that triggers this date?
SID\r24-25,,,Unique identifier assigned to the student.,,XXXXXXXXX,,,,No use as student id notes from Mark F.This comes across as all X charachters.  I would rely on the Local ID and the TX Unique Student ID
Local ID\r24-25,StudentIdentificationCode,identificationCodes,District-assigned identifier used locally for student tracking.,"A coding scheme that is used for identification and record-keeping purposes by schools, social services or other agencies to refer to a student.
",1,9999999,,"identificationCodes:[
      {
        ""studentIdentificationSystemDescriptor"": ""Local"",
        ""identificationCode"": ""1234567""
      }
    ]",Secondary Identification for student 
TX Unique Student ID\r24-25,StudentIdentificationCode,studentUniqueId,State-issued Texas Unique Student Identifier (TSDS UID).,"A coding scheme that is used for identification and record-keeping purposes by schools, social services or other agencies to refer to a student.
",99999998,,,,
First Name\r24-25,student,firstName,Student’s first name.,legal name of the person.,First1,,,,
Last Name\r24-25,student,lastName,Student’s last name.,legal name of the person.,Last1,,,,
Campus\r24-25,"Education, school","school_id, school_name,category",Campus the student is enrolled in.,"The identifier assigned to a school. It must be distinct from any other identifier assigned to educational organizations, such as a LocalEducationAgencyId, to prevent duplication.",(057905007) - THOMAS JEFFERSON H S,,,"EducationOrganization
ID        Name        Category        Parent ID
57905        Dallas ISD        LocalEducationAgency        NULL
57905007        THOMAS JEFFERSON H S        School        57905

School
school_id        campus_code        lea_id
57905007        007        57905",Notes for DISD team: The digits inside the parenthesis are the combination of the state education agency ID for Dallas ISD (057905) and then a 3 digit school number (in this case 007)
Grade\r24-25,StudentSchoolAssociation,EntryGradeLevelDescriptor,Student’s current grade level.,The grade level or primary instructional level at which a student enters and receives services in a school or an educational institution during a given academic session.,12,,,"{
  ""studentSchoolAssociation"": {
    ""studentReference"": {
      ""studentUniqueId"": ""99999998""
    },
    ""schoolReference"": {
      ""schoolId"": 57905007
    },
    ""entryDate"": ""2024-08-14"",
    ""gradeLevelDescriptor"": ""Twelfth grade""
  }
}",
Date of Birth\r24-25,	Student,birthDate,Student’s date of birth.,"The set of elements that capture relevant data regarding a person's birth, including birth date and place of birth.",1/28/2004,,,,
Race/Ethnicity\r24-25,student,HispanicLatinoEthnicity(boolean),Student’s reported race and/or ethnicity.,"An indication that the individual traces his or her origin or descent to Mexico, Puerto Rico, Cuba, Central, and South America, and other Spanish cultures, regardless of race. The term, ""Spanish origin,"" can be used in addition to ""Hispanic or Latino.""",H,,,"{
  ""student"": {
    ""studentUniqueId"": ""99999998"",
    ""firstName"": ""Maria"",
    ""lastSurname"": ""Lopez"",
    ""birthDate"": ""2004-01-28"",
    ""hispanicLatinoEthnicity"": true,
    ""races"": [
      {
        ""raceDescriptor"": ""White""
      }
    ]
  }
}",
Gender\r24-25,Student,SexDescriptor,Student’s gender.,A person's birth sex.,M,,,,
ODS CTE Code,,,,,,,,,
Economically Disadvantaged\r24-25,StudentEducationOrganizationAssociation,economicDisadvantaged,Indicates if the student is economically disadvantaged.,"An indication of inadequate financial condition of an individual's family, as determined by family income, number of family members/dependents, participation in public assistance programs, and/or other characteristics considered relevant by federal, state, and local policy.",Y,Y/N,,,
EL (Current & Monitored)+\r24-25,StudentEducationOrganizationAssociation,EnglishLearnerParticipation,Identifies students currently or formerly monitored as English Learners (EL).,An indication that an English learner student is served by an English language instruction educational program supported with Title III of ESEA funds.,1,1 or 0,,"""{
  """"studentEducationOrganizationAssociation"""": {
    """"studentReference"""": {
      """"studentUniqueId"""": """"99999998""""
    },
    """"educationOrganizationReference"""": {
      """"educationOrganizationId"""": 57905007
    },
    """"englishLearner"""": true}""",
Special Ed (Current)\r24-25,n/a,,Indicates if the student is currently in Special Education services.,,Y,Y or blank,,,
Special Ed (Former)\r24-25,n/a,,Indicates if the student previously received Special Education services.,,,Y or blank,,,
Continuously Enrolled\r24-25,n/a,,Indicates continuous enrollment status.,,N,Y/N,,,
Non Continuously Enrolled\r24-25,n/a,,Indicates if the student has had interrupted or non-continuous enrollment.,,Y,Y/N,,,
High Focus\r24-25,StudentIndicator,indicator,Identifies students flagged as high focus for academic monitoring.,"An indicator or metric computed for the student (e.g., at risk).",Y,Y/N,,"{
  ""studentIndicator"": {
    ""studentReference"": {
      ""studentUniqueId"": ""123456""
    },
    ""indicatorName"": ""High Focus"",
    ""indicator"": true,
    
  }
}",
Highly Mobile\r24-25,StudentIndicator,indicator,Indicates if the student is considered highly mobile.,"An indicator or metric computed for the student (e.g., at risk).",N,Y/N,,,
Foster Care\r24-25,StudentEducationOrganizationAssociation,StudentCharacteristic        ,Indicates if the student is in foster care.,"Reflects important characteristics of a student. If a student has a characteristic present, that characteristic is considered true or active for that student. If a characteristic is not present, no assumption is made as to the applicability of the characteristic, but local policy may dictate otherwise",,1 or blank,,,
Homeless\r24-25,StudentEducationOrganizationAssociation,StudentCharacteristic        ,Indicates if the student is homeless.,"Reflects important characteristics of a student. If a student has a characteristic present, that characteristic is considered true or active for that student. If a characteristic is not present, no assumption is made as to the applicability of the characteristic, but local policy may dictate otherwise",,Digit or Blank,,"{
  ""studentEducationOrganizationAssociation"": {
    ""studentReference"": {
      ""studentUniqueId"": ""99999998""
    },
    ""educationOrganizationReference"": {
      ""educationOrganizationId"": 12345
    },
    ""studentCharacteristics"": [
      {
        ""studentCharacteristicDescriptor"": ""uri://ed-fi.org/StudentCharacteristicDescriptor#Homeless"",
      
      }
    ]
  }
}",Unsure about the program only status is true or false so characteristics is used. If its true will be populated as homeless
Migratory\r24-25,StudentEducationOrganizationAssociation,StudentCharacteristic        ,Indicates if the student is migratory.,"Reflects important characteristics of a student. If a student has a characteristic present, that characteristic is considered true or active for that student. If a characteristic is not present, no assumption is made as to the applicability of the characteristic, but local policy may dictate otherwise",0,1 or 0,,,This descriptor captures important characteristics of the student's environment or situation. Generally used for non-program-based student characteristics.
Prelim Cohort Year\r24-25,GraduationPlan,graduationSchoolYearTypeReference.schoolYear        ,Student’s preliminary cohort graduation year.,The school year the student is expected to graduate.,,Blank or Year,,,
Graduation Status\r24-25,student,,Graduation status of the student.,,0,1 or 0,,,
CCMR MET\r24-25,StudentIndicator,indicator,"Indicates if the student met College, Career, or Military Readiness (CCMR) standards.","An indicator or metric computed for the student (e.g., at risk).",N,Y/N,,"indicatorName: A descriptive name for the indicator, e.g., ""CCMR Met"".
indicator: A boolean value representing the presence (true) or absence (false) of the indicator.",
ELA TSIA\r24-25,StudentAssessment,Assessment.AssessmentIdentifier,Indicates if the student took the ELA TSIA exam.,A unique number or alphanumeric code assigned to an assessment administered to a student.,-,Y or -,,"assessmentIdentifier: A unique identifier for the assessment (e.g., ""ELA TSIA"").",
ELA TSIA SCORE\r24-25,StudentAssessment,ScoreResult,Score the student earned on the ELA TSIA exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",.,Score or .,,,
ELA TSIA ESSAY SCORE\r24-25,StudentAssessment,ScoreResult,Essay score earned on the ELA TSIA.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Score or blank,,,
ELA TSIA2 SCORE\r24-25,StudentAssessment,ScoreResult,Score on the ELA TSIA 2.0 exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",.,Score or .,,,
ELA TSIA2 ESSAY SCORE\r24-25,StudentAssessment,ScoreResult,Essay score on the ELA TSIA 2.0 exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Score or blank,,,
ELA TSIA2 DIAG SCORE\r24-25,StudentAssessment,ScoreResult,Diagnostic score on the ELA TSIA 2.0 exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Score or blank,,,
ELA ACT\r24-25,StudentAssessment,Assessment.AssessmentIdentifier,Indicates if the student took the ACT exam for ELA.,A unique number or alphanumeric code assigned to an assessment administered to a student.,,Y/N/Blank,,,
ELA ACT Test Date\r24-25,StudentAssessment,AdministrationDate,Date the ELA ACT exam was taken.,The date and time an assessment was completed by the student. The use of ISO-8601 formats with a timezone designator (UTC or time offset) is recommended in order to prevent ambiguity due to time zones.,,Date,,,
ELA ACT SCORE\r24-25,StudentAssessment,ScoreResult,Score earned on the ELA ACT exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Score or blank,,,
ELA SAT\r24-25,StudentAssessment,Assessment.AssessmentIdentifier,Indicates if the student took the SAT exam for ELA.,A unique number or alphanumeric code assigned to an assessment administered to a student.,,Y/N/Blank,,,
ELA SAT Test Date\r24-25,StudentAssessment,AdministrationDate,Date the ELA SAT exam was taken.,The date and time an assessment was completed by the student. The use of ISO-8601 formats with a timezone designator (UTC or time offset) is recommended in order to prevent ambiguity due to time zones.,,Date,,,
ELA SAT SCORE\r24-25,StudentAssessment,ScoreResult,Score earned on the ELA SAT exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Score or blank,,,
ELA College Prep PEIMS\r24-25,n/a,,Indicates enrollment in ELA college prep course per PEIMS.,,-,Y/N/-,,,
ELA Met Excl CP\r24-25,StudentAssessment,Assessment.AssessmentIdentifier,Indicates ELA criteria met excluding college prep.,A unique number or alphanumeric code assigned to an assessment administered to a student.,,Y/N,,,
Met Any ELA TSI Criteria\r24-25,StudentAssessment,Assessment.AssessmentIdentifier,Indicates if any ELA TSI criteria were met.,A unique number or alphanumeric code assigned to an assessment administered to a student.,N,Y/N,,,The mapping is conflicting
MATH TSIA\r24-25,StudentAssessment,Assessment.AssessmentIdentifier,Indicates if the student took the MATH TSIA exam.,A unique number or alphanumeric code assigned to an assessment administered to a student.,-,Y/-,,,
MATH TSIA SCORE\r24-25,StudentAssessment,ScoreResult,Score the student earned on the MATH TSIA exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",.,Score or .,,,
MATH TSIA2 SCORE\r24-25,StudentAssessment,ScoreResult,Score on the MATH TSIA 2.0 exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",.,Score or .,,,
MATH TSIA2 DIAG SCORE\r24-25,StudentAssessment,ScoreResult,Diagnostic score on the MATH TSIA 2.0 exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Score or blank,,,
MATH ACT\r24-25,StudentAssessment,Assessment.AssessmentIdentifier,Indicates if the student took the ACT exam for math.,A unique number or alphanumeric code assigned to an assessment administered to a student.,,Y/N/Blank,,,
MATH ACT Test Date\r24-25,StudentAssessment,AdministrationDate,Date the MATH ACT exam was taken.,The date and time an assessment was completed by the student. The use of ISO-8601 formats with a timezone designator (UTC or time offset) is recommended in order to prevent ambiguity due to time zones.,,Date,,,
MATH ACT SCORE\r24-25,StudentAssessment,ScoreResult,Score earned on the MATH ACT exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Score or blank,,,
MATH SAT\r24-25,StudentAssessment,ScoreResult,Indicates if the student took the SAT exam for math.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Y/N/Blank,,,
MATH SAT Test Date\r24-25,StudentAssessment,AdministrationDate,Date the MATH SAT exam was taken.,The date and time an assessment was completed by the student. The use of ISO-8601 formats with a timezone designator (UTC or time offset) is recommended in order to prevent ambiguity due to time zones.,,Date,,,
MATH SAT SCORE\r24-25,StudentAssessment,ScoreResult,Score earned on the MATH SAT exam.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Score or blank,,,
MATH College Prep PEIMS\r24-25,n/a,,Indicates enrollment in MATH college prep course per PEIMS.,,-,Y/N/-,,,
MATH Met Excl CP\r24-25,n/a,,Indicates MATH criteria met excluding college prep.,,N,Y/N,,,
Met Any MATH TSI Criteria\r24-25,StudentAssessment,Assessment.AssessmentIdentifier,Indicates if any MATH TSI criteria were met.,A unique number or alphanumeric code assigned to an assessment administered to a student.,,Y/N,,"assessmentIdentifier: ""MATH_TSI_Criteria""",The mapping is conflicting
Met ELA and MATH Excl CP\r24-25,,,"Indicates if both ELA and MATH criteria were met, excluding college prep.",,N,Y/N,,"ELA Assessment:

assessmentIdentifier: ""ELA_TSI_Criteria""

namespace: ""http://www.tea.state.tx.us""

assessmentTitle: ""ELA TSI Criteria""

assessmentCategoryDescriptor: ""State""

academicSubjectDescriptor: ""English Language Arts""

gradeLevels: [""Grade 11"", ""Grade 12""]

assessmentReportingMethodType: ""Pass/Fail""

resultDatatypeType: ""Boolean""

Mathematics Assessment:

assessmentIdentifier: ""MATH_TSI_Criteria""

namespace: ""http://www.tea.state.tx.us""

assessmentTitle: ""Mathematics TSI Criteria""

assessmentCategoryDescriptor: ""State""

academicSubjectDescriptor: ""Mathematics""

gradeLevels: [""Grade 11"", ""Grade 12""]

assessmentReportingMethodType: ""Pass/Fail""

resultDatatypeType: ""Boolean""

2. StudentAssessment Entities
Record the student's results for each assessment.

ELA StudentAssessment:

studentUniqueId: ""123456789""

assessmentReference:

assessmentIdentifier: ""ELA_TSI_Criteria""

namespace: ""http://www.tea.state.tx.us""

administrationDate: ""2025-04-15""

scoreResults:

assessmentReportingMethodType: ""Pass/Fail""

result: ""true""

resultDatatypeType: ""Boolean""",
TSI Met ELA and MATH\r24-25,,,Indicates if both ELA and MATH TSI criteria were fully met.,,N,Y/N,,,
ACT Composite Score\r24-25,StudentAssessment,ScoreResult,Composite score earned on the ACT.,"A meaningful score or statistical expression of the performance of an individual. The results can be expressed as a number, percentile, range, level, etc.",,Score or blank,,,
AP IB MET\r24-25,n/a,,Indicates if AP or IB standards were met.,,-,Y/-,,,
Dual Credit PEIMS\r24-25,n/a,,Dual credit enrollment status reported to PEIMS.,,N,Y/N,,,
IBC PEIMS 2025\r24-25,postSecondaryEvents,postSecondaryEvents.PostSecondaryEventCategory,Industry-Based Certification (IBC) earned for 2025 per PEIMS.,The post secondary event that is logged.,N,Y/N,,"studentUniqueId: ""123456789""

educationOrganizationId: ""123456""

schoolYear: 2026

termDescriptor: ""2025-2026 School Year""

postSecondaryEvents:

postSecondaryEventCategoryDescriptor: ""Industry-Based Certification Earned""

eventDate: ""2026-05-15""

postSecondaryInstitutionName: ""Certification Authority Name""",need to split the school year like in example
IBC PEIMS 2026\r24-25,postSecondaryEvents,postSecondaryEvents.PostSecondaryEventCategory,Industry-Based Certification (IBC) earned for 2026 per PEIMS.,The post secondary event that is logged.,N,Y/N,,,
Flagged IBC Only\r24-25,StudentProgramAssociation,program.programName,Indicates student flagged for IBC only.,"The formal name of the program of instruction, training, services, or benefits available through federal, state, or local agencies.",N,Y/N,,,
Level 1 or 2 Cert\r24-25,diploma,DiplomaType,Indicates if the student earned a Level 1 or 2 Certificate.,The type of diploma/credential that is awarded to a student in recognition of his/her completion of the curricular requirements.,-,Y/-,,,
Assoc Deg PEIMS\r24-25,diploma,DiplomaType,Indicates if the student earned an Associate Degree per PEIMS.,The type of diploma/credential that is awarded to a student in recognition of his/her completion of the curricular requirements.,-,Y/-,,,
